year,twh_best,datacenter_co2_mt,country,us_total_co2,dc_share_of_us
2014,58,22.388,US Data Centres (est.),5531.385,0.40474492373971444
2015,60,23.16,US Data Centres (est.),5368.497,0.43140566158461113
2016,60,23.16,US Data Centres (est.),5245.362,0.441532919939558
2017,65,25.09,US Data Centres (est.),5195.417,0.48292562464187183
2018,76,29.336000000000002,US Data Centres (est.),5361.236,0.5471872530886536
2019,95,36.67,US Data Centres (est.),5235.912,0.7003555445546067
2020,108,41.688,US Data Centres (est.),4689.954,0.8888786542469287
2021,120,46.32,US Data Centres (est.),5020.111,0.9226887612644422
2022,134,51.724000000000004,US Data Centres (est.),5055.403,1.023142962094219
